pid,player,pos,prev_team,age,proj_ppr,prev_ppr,prev_ppg,prev_g,prev_rk,vbd,vbd_rk,tier,pos_rk
P0959,Geno Smith,QB,LVR,36,130.8,173.9,11.59,15,92,-110.7,217,3,28
P1468,Olamide Zaccheaus,WR,CHI,29,43.1,84.8,5.3,16,204,-111.0,218,2,84
P1331,Darius Slayton,WR,NYG,29,42.9,98.8,7.06,14,176,-111.2,219,2,85
P1658,Tyler Shough,QB,NOR,27,129.6,158.0,14.36,11,105,-111.9,220,3,29
P1696,Brashard Smith,RB,KAN,23,31.2,63.3,3.72,17,242,-112.9,221,2,61
P1479,Jeremy McNichols,RB,WAS,31,29.8,72.7,4.28,17,222,-114.3,222,2,62
P1197,JuJu Smith-Schuster,WR,KAN,30,39.2,73.5,4.32,17,219,-114.9,223,2,86
P1198,Cooper Kupp,WR,SEA,33,38.3,116.3,7.27,16,154,-115.8,224,2,87
P1635,Cedric Tillman,WR,CLE,26,37.1,60.0,4.62,13,247,-117.0,225,2,88
P1318,Kyler Murray,QB,ARI,29,124.4,77.8,15.56,5,212,-117.1,226,3,30
P1504,Brian Robinson Jr.,RB,SFO,27,23.2,62.5,3.68,17,245,-120.9,227,2,63
P1695,Travis Hunter,WR,JAX,23,31.8,63.8,9.11,7,241,-122.3,228,2,89
P1670,Michael Penix,QB,ATL,26,118.6,120.3,13.37,9,147,-122.9,229,3,31
P1536,Zonovan Knight,RB,ARI,25,20.0,92.9,7.74,12,182,-124.1,230,2,64
P1626,Devaughn Vele,WR,NOR,29,25.9,66.3,5.1,13,236,-128.2,231,2,90
P1503,Greg Dortch,WR,ARI,28,25.1,75.1,6.26,12,215,-129.0,232,2,91
P1225,Chris Godwin,WR,TAM,30,22.2,83.0,9.22,9,206,-131.9,233,2,92
P1440,Van Jefferson,WR,TEN,30,21.1,70.0,4.38,16,230,-133.0,234,2,93
P1688,John Metchie,WR,2TM,26,17.4,71.9,4.49,16,223,-136.7,235,2,94
P1277,Kendrick Bourne,WR,SFO,31,14.8,92.1,5.76,16,184,-139.3,236,2,95
P0968,DeAndre Hopkins,WR,BAL,34,11.8,67.0,3.94,17,234,-142.3,237,2,96
P1144,Sterling Shepard,WR,TAM,33,8.7,82.0,6.31,13,208,-145.4,238,2,97
P1084,Tyler Lockett,WR,2TM,34,2.8,73.1,4.3,17,221,-151.3,239,2,98
