pid,pfr_id,season,week,pos,team,opp,ppr
P0008,OwenTe00,2010,11,WR,CIN,BUF,15.3
P0008,OwenTe00,2010,12,WR,CIN,NYJ,4.7
P0008,OwenTe00,2010,13,WR,CIN,NO,16.7
P0008,OwenTe00,2010,14,WR,CIN,PIT,3.2
P0009,GreeAh00,2000,1,RB,GB,NYJ,7.2
P0009,GreeAh00,2000,2,RB,GB,BUF,10.4
P0009,GreeAh00,2000,3,RB,GB,PHI,2.9
P0009,GreeAh00,2000,4,RB,GB,ARI,22.2
P0009,GreeAh00,2000,5,RB,GB,CHI,9.1
P0009,GreeAh00,2000,6,RB,GB,DET,22.5
P0009,GreeAh00,2000,7,RB,GB,SF,20.5
P0009,GreeAh00,2000,9,RB,GB,MIA,14.3
P0009,GreeAh00,2000,10,RB,GB,MIN,26.7
P0009,GreeAh00,2000,11,RB,GB,TB,15.0
P0009,GreeAh00,2000,12,RB,GB,IND,22.0
P0009,GreeAh00,2000,13,RB,GB,CAR,26.7
P0009,GreeAh00,2000,14,RB,GB,CHI,23.5
P0009,GreeAh00,2000,15,RB,GB,DET,29.5
P0009,GreeAh00,2000,16,RB,GB,MIN,29.2
P0009,GreeAh00,2000,17,RB,GB,TB,31.5
P0009,GreeAh00,2001,1,RB,GB,DET,30.7
P0009,GreeAh00,2001,2,RB,GB,WAS,20.6
P0009,GreeAh00,2001,3,RB,GB,CAR,18.8
P0009,GreeAh00,2001,4,RB,GB,TB,19.4
P0009,GreeAh00,2001,5,RB,GB,BAL,13.2
P0009,GreeAh00,2001,6,RB,GB,MIN,15.9
P0009,GreeAh00,2001,8,RB,GB,TB,31.8
P0009,GreeAh00,2001,9,RB,GB,CHI,11.0
P0009,GreeAh00,2001,10,RB,GB,ATL,14.9
P0009,GreeAh00,2001,11,RB,GB,DET,29.0
P0009,GreeAh00,2001,12,RB,GB,JAX,21.5
P0009,GreeAh00,2001,13,RB,GB,CHI,25.4
P0009,GreeAh00,2001,14,RB,GB,TEN,6.3
P0009,GreeAh00,2001,15,RB,GB,CLE,19.8
P0009,GreeAh00,2001,16,RB,GB,MIN,13.8
P0009,GreeAh00,2001,17,RB,GB,NYG,26.0
