,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,-additional
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999
307,Jaylen Waddle,DEN,WR,28,1,1,0,0,0,0,0,0,0,,0,3,1,2,2.00,0,0,0,0,,,,1.2,1.2,0.7,,103,,WaddJa00
308,Tyler Conklin,DET,TE,31,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,77,,ConkTy00
309,Tom Kennedy,DET,WR,30,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,123,,KennTo01
310,Tay Martin,DET,WR,29,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,124,,MartTa00
311,Jackson Meeks,DET,WR,23,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,125,,MeekJa00
312,Jacob Saylors,DET,RB,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,84,,SaylJa00
313,Isaac TeSlaa,DET,WR,24,1,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,126,,TeSlIs00
314,Kaleb Johnson,GNB,RB,23,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,85,,JohnKa03
315,Skyy Moore,GNB,WR,26,1,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,127,,MoorSk01
316,Mark Redman,GNB,TE,,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,78,,RedmMa00
317,Josh Whyle,GNB,TE,27,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,79,,WhylJo01
318,British Brooks,HOU,RB,27,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,86,,BrooBr01
319,Cade Stover,HOU,TE,26,1,1,0,0,0,0,0,0,0,,0,1,1,-2,-2.00,0,0,0,0,,,,0.8,0.8,0.3,,107,,StovCa00
320,LeQuint Allen,JAX,RB,22,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,87,,AlleLe01
321,Quintin Morris,JAX,TE,27,1,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,80,,MorrQu00
322,Nick Mullens,JAX,QB,31,1,0,0,0,0,0,0,3,-3,-1.00,0,0,0,0,,0,0,0,0,,,,-0.3,-0.3,-0.3,,38,,MullNi00
323,CJ Williams,JAX,WR,,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,128,,WillCJ00
324,Cyrus Allen,KAN,WR,23,1,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,129,,AlleCy00
325,Justin Fields,KAN,QB,27,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,37,,FielJu00
326,Nikko Remigio,KAN,WR,27,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,130,,RemiNi00
327,Jalen Royals,KAN,WR,23,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,131,,RoyaJa00
328,Brashard Smith,KAN,RB,23,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,88,,SmitBr09
329,Tyquan Thornton,KAN,WR,26,1,1,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,132,,ThorTy00
330,Ben VanSumeren,KAN,FB,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,89,,VanSBe00
331,Kevin Coleman,MIA,WR,23,1,0,0,0,0,0,0,0,0,,0,2,0,0,,0,0,0,0,,,,,,,,133,,ColeKe03
332,Ollie Gordon,MIA,RB,22,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,90,,GordOl00
333,DJ Herman,MIA,FB,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,91,,HermDJ00
334,Will Kacmarek,MIA,TE,23,1,1,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,81,,KacmWi00
335,Ryan Miller,MIA,WR,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,134,,MillRy01
336,Seydou Traore,MIA,TE,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,82,,TraoSe00
337,Jaylen Wright,MIA,RB,23,1,0,0,0,0,0,0,1,-1,-1.00,0,0,0,0,,0,0,0,0,,,,-0.1,-0.1,-0.1,,107,,WrigJa04
338,Jordan Addison,MIN,WR,24,1,1,0,0,0,0,0,0,0,,0,2,0,0,,0,0,0,0,,,,,,,,135,,AddiJo00
339,Gavin Bartholomew,MIN,TE,23,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,83,,BartGa00
340,Max Bredeson,MIN,FB,24,1,1,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,92,,BredMa00
341,DeeJay Dallas,MIN,RB,28,1,0,0,0,0,0,0,0,0,,0,1,1,1,1.00,0,0,0,0,,,,1.1,1.1,0.6,,74,,DallDe00
342,Tai Felton,MIN,WR,23,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,136,,FeltTa00
343,Jauan Jennings,MIN,WR,29,1,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,137,,JennJa00
344,Kyler Murray,MIN,QB,29,1,1,3,5,18,0,1,2,9,4.50,0,0,0,0,,0,0,0,0,,,,-0.4,0.6,0.6,,39,,MurrKy00
345,Myles Price,MIN,WR,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,138,,PricMy00
346,Kevin Austin,NOR,WR,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,139,,AustKe00
347,Barion Brown,NOR,WR,23,1,1,0,0,0,0,0,1,3,3.00,0,0,0,0,,0,0,0,0,,,,0.3,0.3,0.3,,102,,BrowBa02
348,CJ Donaldson,NOR,RB,,1,0,0,0,0,0,0,2,4,2.00,0,2,1,-2,-2.00,0,0,0,0,,,,1.2,1.2,0.7,,73,,DonaCJ00
349,Treyton Welch,NOR,TE,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,84,,WelcTr00
350,Tanner Arkin,NWE,TE,23,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,85,,ArkiTa00
351,Romeo Doubs,NWE,WR,26,1,0,0,0,0,0,0,0,0,,0,3,0,0,,0,0,0,0,,,,,,,,140,,DoubRo00
352,Reggie Gilliam,NWE,FB,29,1,1,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,93,,GillRe00
353,Cameron Latu,NWE,TE,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,86,,LatuCa01
354,Kyle Williams,NWE,WR,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,141,,WillKy03
355,Odell Beckham Jr.,NYG,WR,34,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,142,,BeckOd00
356,Braxton Berrios,NYG,WR,31,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,143,,BerrBr00
357,Chris Manhertz,NYG,TE,34,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,87,,ManhCh00
358,Patrick Ricard,NYG,FB,32,1,1,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,94,,RicaPa00
359,Andrew Beck,NYJ,FB,30,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,95,,BeckAn01
360,Isaiah Davis,NYJ,RB,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,96,,DaviIs00
361,Jeremy Ruckert,NYJ,TE,26,1,0,0,0,0,0,0,0,0,,0,1,1,4,4.00,0,0,0,0,,,,1.4,1.4,0.9,,59,,RuckJe00
362,Arian Smith,NYJ,WR,25,1,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,144,,SmitAr01
363,Mason Taylor,NYJ,TE,22,1,1,0,0,0,0,0,0,0,,0,3,2,-2,-1.00,0,0,0,0,,,,1.8,1.8,0.8,,108,,TaylMa02
364,Jelani Woods,NYJ,TE,28,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,88,,WoodJe01
365,Julius Chestnut,TEN,RB,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,97,,ChesJu00
366,Kylen Granson,TEN,TE,28,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,89,,GranKy00
367,David Martin-Robinson,TEN,TE,27,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,90,,MartDa01
368,Calvin Ridley,TEN,WR,32,1,1,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,145,,RidlCa00
369,Tank Bigsby,PHI,RB,25,1,0,0,0,0,0,0,1,3,3.00,0,0,0,0,,0,0,0,0,,,,0.3,0.3,0.3,,71,,BigsTa00
370,Darius Cooper,PHI,WR,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,146,,CoopDa01
371,Britain Covey,PHI,WR,29,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,147,,CoveBr00
372,E.J. Jenkins,PHI,TE,28,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,91,,JenkEJ00
373,Johnny Mundt,PHI,TE,32,1,1,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,92,,MundJo00
374,Germie Bernard,PIT,WR,23,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,148,,BernGe00
375,Eli Heidenreich,PIT,RB,23,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,98,,HeidEl00
376,Riley Nowakowski,PIT,FB,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,99,,NowaRi00
377,Ben Skowronek,PIT,WR,29,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,149,,SkowBe00
378,Robert Tonyan,PIT,TE,32,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,93,,TonyRo00
379,Kaden Wetjen,PIT,WR,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,150,,WetjKa00
380,Malik Benson,LVR,WR,24,1,0,0,0,0,0,0,1,-8,-8.00,0,2,1,6,6.00,0,0,0,0,,,,0.8,0.8,0.3,,165,,BensMa00
381,Connor Heyward,LVR,FB,27,1,1,0,0,0,0,0,1,1,1.00,0,0,0,0,,0,0,0,0,,,,0.1,0.1,0.1,,75,,HeywCo00
382,Dylan Laube,LVR,RB,27,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,100,,LaubDy00
383,Chris Myarick,LVR,TE,31,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,94,,MyarCh00
384,Ian Thomas,LVR,TE,30,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,95,,ThomIa00
385,Cody White,LVR,WR,28,1,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,151,,WhitCo05
386,Dareke Young,LVR,WR,27,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,152,,YounDa02
387,Terrance Ferguson,LAR,TE,23,1,1,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,96,,FergTe00
388,Konata Mumpfield,LAR,WR,24,1,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,153,,MumpKo00
389,Xavier Smith,LAR,WR,29,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,154,,SmitXa00
390,Rasheen Ali,BAL,RB,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,101,,AlixRa00
391,Rashod Bateman,BAL,WR,27,1,1,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,155,,BateRa00
392,Josh Cuevas,BAL,TE,23,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,97,,CuevJo00
393,Durham Smythe,BAL,TE,31,1,1,0,0,0,0,0,0,0,,0,1,1,4,4.00,0,0,0,0,,,,1.4,1.4,0.9,,60,,SmytDu00
394,Derius Davis,LAC,WR,26,1,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,156,,DaviDe02
395,Alec Ingold,LAC,FB,30,1,1,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,102,,IngoAl01
396,Charlie Kolar,LAC,TE,27,1,1,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,98,,KolaCh00
397,KeAndre Lambert-Smith,LAC,WR,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,157,,LambKe01
398,Brenen Thompson,LAC,WR,23,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,158,,ThomBr07
399,Kimani Vidal,LAC,RB,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,103,,VidaKi00
400,Elijah Arroyo,SEA,TE,23,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,99,,ArroEl00
401,Montorie Foster,SEA,WR,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,159,,FostMo00
402,Velus Jones Jr.,SEA,RB,29,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,104,,JoneVe00
403,Eric Saubert,SEA,TE,32,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,100,,SaubEr00
404,Rashid Shaheed,SEA,WR,28,1,0,0,0,0,0,0,0,0,,0,3,1,4,4.00,0,0,0,0,,,,1.4,1.4,0.9,,100,,ShahRa00
405,Emanuel Wilson,SEA,RB,27,1,0,0,0,0,0,0,2,3,1.50,0,0,0,0,,0,0,0,0,,,,0.3,0.3,0.3,,72,,WilsEm00
406,Jacob Cowing,SFO,WR,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,160,,CowiJa00
407,KhaDarel Hodge,SFO,WR,31,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,161,,HodgKh00
408,Kyle Juszczyk,SFO,FB,35,1,1,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,105,,JuszKy00
409,De'Zhaun Stribling,SFO,WR,24,1,1,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,162,,StriDe01
410,Jake Tonges,SFO,TE,27,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,101,,TongJa00
411,Payne Durham,TAM,TE,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,102,,DurhPa00
412,Kameron Johnson,TAM,WR,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,163,,JohnKa01
413,Tez Johnson,TAM,WR,24,1,0,0,0,0,0,0,1,-4,-4.00,0,1,0,0,,0,0,0,0,,,,-0.4,-0.4,-0.4,,166,,JohnTe03
414,Ko Kieft,TAM,TE,28,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,103,,KiefKo00
415,Bauer Sharp,TAM,TE,23,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,104,,SharBa00
416,Josh Williams,TAM,RB,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,106,,WillJo011
417,Dyami Brown,WAS,WR,27,1,0,0,0,0,0,0,0,0,,0,2,0,0,,0,0,0,0,,,,,,,,164,,BrowDy00
418,Jaylin Lane,WAS,WR,24,1,0,0,0,0,0,0,0,0,,0,1,1,4,4.00,0,0,0,0,,,,1.4,1.4,0.9,,101,,LaneJa00
419,Ben Sinnott,WAS,TE,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,105,,SinnBe00
420,Colson Yankoff,WAS,TE,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,106,,YankCo00
421,Tyrone Tracy Jr.,NYG,RB,27,1,0,0,0,0,0,0,2,14,7.00,0,0,0,0,,0,1,1,0,,,-1,-0.6,0.4,-0.6,,108,,TracTy00
422,Chimere Dike,TEN,WR,25,1,0,0,0,0,0,0,0,0,,0,1,1,7,7.00,0,1,1,0,,,-1,-0.3,0.7,-0.8,,168,,DikeCh00
423,Makai Lemon,PHI,WR,22,1,0,0,0,0,0,0,0,0,,0,4,3,-5,-1.67,0,0,0,0,,,-1,2.5,2.5,1.0,,167,,LemoMa00
424,Tyler Higbee,LAR,TE,33,1,0,0,0,0,0,0,0,0,,0,2,2,12,6.00,0,1,1,0,,,-1,1.2,2.2,0.2,,109,,HigbTy00
425,Jimmy Horn,CAR,WR,24,1,0,0,0,0,0,0,0,0,,0,1,0,0,,0,1,1,0,,,-2,-2.0,-1.0,-2.0,,169,,HornJi00
