,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,-additional
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999
60,Josh Palmer,BUF,WR,27,1,0,0,0,0,0,0,0,0,,0,2,1,34,34.00,1,0,0,1,,,9,10.4,10.4,9.9,2,23,60,PalmJo00
61,Caleb Douglas,MIA,WR,23,1,1,0,0,0,0,0,0,0,,0,7,5,94,18.80,0,0,0,0,,,9,14.4,14.4,11.9,2,24,61,DougCa00
62,T.J. Hockenson,MIN,TE,29,1,0,0,0,0,0,0,0,0,,0,5,4,36,9.00,1,0,0,1,,,10,13.6,13.6,11.6,1,9,62,HockTJ00
63,Cole Kmet,CHI,TE,27,1,0,0,0,0,0,0,0,0,,0,3,2,35,17.50,1,0,0,1,,,10,11.5,11.5,10.5,1,10,63,KmetCo00
64,Rhamondre Stevenson,NWE,RB,28,1,1,0,0,0,0,0,18,51,2.83,0,6,5,44,8.80,0,0,0,0,,,10,14.5,14.5,12.0,1,22,64,StevRh00
65,Aaron Jones,MIN,RB,32,1,1,0,0,0,0,0,12,40,3.33,1,1,0,0,,0,0,0,1,,,10,10.0,10.0,10.0,1,20,65,JoneAa00
66,Devin Singletary,NYG,RB,29,1,0,0,0,0,0,0,6,16,2.67,0,4,4,22,5.50,1,0,0,1,,,10,13.8,13.8,11.8,1,21,66,SingDe00
67,Noah Fant,NOR,TE,29,1,0,0,0,0,0,0,0,0,,0,8,4,33,8.25,1,0,0,1,,,9,13.3,13.3,11.3,1,11,67,FantNo00
68,Jack Bech,LVR,WR,24,1,0,0,0,0,0,0,0,0,,0,4,3,23,7.67,1,0,0,1,,,8,11.3,11.3,9.8,1,26,68,BechJa00
69,Kalif Raymond,CHI,WR,32,1,1,0,0,0,0,0,0,0,,0,9,8,84,10.50,0,0,0,0,,,8,16.4,16.4,12.4,1,25,69,RaymKa00
70,Jordan Love,GNB,QB,28,1,1,21,42,387,2,1,1,0,0.00,0,0,0,0,,0,2,1,0,,,19,19.5,24.5,20.5,,11,70,LoveJo03
71,Carson Wentz,MIN,QB,34,1,0,12,19,133,3,0,5,-1,-0.20,0,0,0,0,,0,0,0,0,,1,19,19.2,19.2,19.2,,12,71,WentCa00
72,Jayden Daniels,WAS,QB,26,1,1,18,34,164,2,0,5,31,6.20,0,0,0,0,,0,0,0,0,,,18,17.7,17.7,17.7,,13,72,DaniJa02
73,Malik Willis,MIA,QB,27,1,1,15,27,220,0,1,6,39,6.50,1,0,0,0,,0,1,0,1,,,17,16.7,17.7,17.7,,14,73,WillMa12
74,C.J. Stroud,HOU,QB,25,1,1,26,38,274,2,0,2,15,7.50,0,0,0,0,,0,2,2,0,,,16,16.5,18.5,16.5,,16,74,StroCJ00
